SalePrice	SqFeet	Beds	Baths	Air	Garage	Pool	Year	Quality	Style	Lot	Highway
170	1.687	2	1	1	1	0	1941	3	4	20.925	0
179	1.816	4	1	1	2	0	1956	3	3	16.508	0
162.5	1.622	3	1	1	1	0	1956	3	3	16.12	0
172	1.604	4	2	1	2	0	1954	3	1	14.964	0
153.2	1.592	4	2	0	1	0	1956	3	1	16.396	0
220	1.922	3	2	1	2	0	1952	3	1	33.579	0
174	1.892	3	1	1	1	0	1955	3	3	14.712	0
200	1.628	3	1	1	2	0	1959	3	1	15.412	0
161	1.644	2	2	1	2	0	1956	3	1	17.03	0
135	1.45	3	1	1	2	0	1955	3	1	15.868	0
190	1.592	3	2	1	2	0	1959	3	1	22.748	0
153.8	1.654	2	1	0	2	0	1962	3	1	25.874	0
144.9	1.388	2	1	1	2	0	1950	3	1	10.568	0
165	1.67	3	2	0	2	0	1953	3	1	18.525	0
186	1.953	3	2	1	1	0	1956	3	1	17.129	0
167	2.008	3	1	1	2	0	1963	3	1	21.86	0
189.6	1.65	3	2	1	2	0	1960	3	1	34.724	0
170	1.578	3	1	1	2	0	1975	3	1	22.485	0
189.5	1.618	3	2	1	2	0	1962	3	1	27.539	0
153.5	1.642	3	1	0	2	0	1959	3	1	14.901	0
159.9	2.008	1	2	1	2	0	1941	3	1	31.657	0
158	1.604	3	2	1	1	0	1960	3	1	23.534	0
175	2.035	4	2	1	3	0	1962	3	7	20.131	0
147	1.534	3	2	0	1	0	1955	3	3	15.361	0
155	1.624	2	2	1	2	0	1955	3	1	16.721	0
150	1.7	4	2	1	1	0	1954	3	1	15.391	0
165	1.63	3	2	1	2	0	1978	3	2	24.963	0
147	1.526	3	2	1	1	0	1957	3	1	15.007	0
146.25	1.672	3	1	1	2	0	1949	3	1	22.617	0
177.5	1.588	4	2	1	2	0	1980	3	2	21.925	0
153.65	1.752	4	2	1	2	0	1950	3	6	9.126	0
199.5	1.674	4	2	0	2	0	1947	3	1	33.237	0
186	1.98	3	1	0	1	0	1927	3	6	47.679	0
139.9	1.396	1	1	0	2	0	1950	3	1	25.879	0
160	1.178	1	1	0	2	0	1959	3	1	9.941	0
125	1.263	2	2	0	0	0	1955	3	1	12.357	0
359.9	2.377	5	2	1	2	0	1937	3	6	51.005	0
184.5	1.304	3	1	1	2	0	1951	3	1	21.305	0
155	1.34	3	1	0	0	0	1952	3	1	5.666	0
150	1.559	2	1	0	2	0	1952	3	1	23.999	0
146	1.412	1	2	1	0	0	1920	3	1	4.56	0
129	1.198	2	2	1	2	0	1925	3	1	20.918	0
145	1.424	2	1	1	2	0	1947	3	1	16.414	0
200	1.37	4	1	0	1	0	1925	3	4	8	0
149.9	1.584	3	2	1	2	0	1957	3	1	13.514	0
132	1.567	2	1	1	1	0	1934	3	4	12.249	0
136.9	1.409	2	1	0	1	0	1951	3	1	28.421	0
137	1.655	2	1	0	1	0	1935	3	1	54.651	0
185	1.944	3	2	1	2	0	1939	3	6	17.999	0
133.5	1.922	3	1	0	2	0	1950	3	1	14.805	0
124	1.48	3	2	1	2	0	1953	3	1	28.351	0
95.5	1.184	2	1	0	1	0	1951	3	1	14.786	0
